ID_VIV,ID_HOG,ID_PER,ID_DEL,UPM,VIV_SEL,HOGAR,BPCOD,R_SEL,SEXO,EDAD,AREAM_OCU,BP1_1,BP1_2C,FAC_DEL,FAC_DEL_AM
1505911.05,1505911.05.01,1505911.05.01.01,1505911.05.01.01.05.1,1505911,5,1,5,1,2,42,1,9,15,1876,1876
1504068.04,1504068.04.01,1504068.04.01.02,1504068.04.01.02.09.1,1504068,4,1,9,2,2,62,1,3,15,2579,2579
1504188.05,1504188.05.01,1504188.05.01.07,1504188.05.01.07.05.1,1504188,5,1,5,7,1,18,1,8,15,9332,9332
1504308.02,1504308.02.01,1504308.02.01.02,1504308.02.01.02.05.1,1504308,2,1,5,2,2,43,1,2,15,3493,3493
1505289.01,1505289.01.01,1505289.01.01.02,1505289.01.01.02.12.1,1505289,1,1,12,2,2,40,1,12,15,5462,5462
1507232.02,1507232.02.01,1507232.02.01.01,1507232.02.01.01.10.1,1507232,2,1,10,1,1,34,1,11,15,3203,3203
1507313.04,1507313.04.01,1507313.04.01.03,1507313.04.01.03.05.1,1507313,4,1,5,3,1,30,1,5,15,5131,5131
1507313.04,1507313.04.01,1507313.04.01.03,1507313.04.01.03.05.2,1507313,4,1,5,3,1,30,1,5,15,5131,5131
1519817.01,1519817.01.01,1519817.01.01.01,1519817.01.01.01.09.1,1519817,1,1,9,1,1,98,1,3,15,1180,1180
1505052.04,1505052.04.01,1505052.04.01.05,1505052.04.01.05.05.1,1505052,4,1,5,5,2,27,1,12,15,7181,7181
1505160.05,1505160.05.01,1505160.05.01.02,1505160.05.01.02.02.1,1505160,5,1,2,2,1,33,1,3,15,1751,1751
1505160.05,1505160.05.01,1505160.05.01.02,1505160.05.01.02.05.1,1505160,5,1,5,2,1,33,1,9,15,5252,5252
1528354.04,1528354.04.01,1528354.04.01.02,1528354.04.01.02.03.1,1528354,4,1,3,2,2,28,1,12,15,1757,1757
1504595.02,1504595.02.01,1504595.02.01.02,1504595.02.01.02.02.1,1504595,2,1,2,2,2,39,1,5,15,1259,1259
